iter	Passed	Remaining
0	0	413
1	1	355
2	2	342
3	2	332
4	3	322
5	3	315
6	4	308
7	4	303
8	5	299
9	6	296
10	6	296
11	7	297
12	7	297
13	8	302
14	9	302
15	9	301
16	10	310
17	11	308
18	12	306
19	12	303
20	13	301
21	13	299
22	14	299
23	15	297
24	15	296
25	16	295
26	16	295
27	17	294
28	18	294
29	18	292
30	19	291
31	19	290
32	20	289
33	21	289
34	21	289
35	22	289
36	23	288
37	23	287
38	24	287
39	24	286
40	25	285
41	26	284
42	26	283
43	27	283
44	27	282
45	28	281
46	29	281
47	29	280
48	30	279
49	30	278
50	31	278
51	32	277
52	32	276
53	33	275
54	33	274
55	34	273
56	35	272
57	35	271
58	36	271
59	36	270
60	37	269
61	38	268
62	38	268
63	39	267
64	39	267
65	40	266
66	41	265
67	41	264
68	42	264
69	42	263
70	43	262
71	43	261
72	44	260
73	45	259
74	45	258
75	46	257
76	46	257
77	47	257
78	48	256
79	48	255
80	49	254
81	49	253
82	50	253
83	50	252
84	51	251
85	52	251
86	52	250
87	53	250
88	53	249
89	54	248
90	55	247
91	55	246
92	56	245
93	56	244
94	57	244
95	57	243
96	58	242
97	59	242
98	59	241
99	60	240
100	60	240
101	61	239
102	61	238
103	62	237
104	62	236
105	63	236
106	64	235
107	64	234
108	65	234
109	65	233
110	66	233
111	67	232
112	67	232
113	68	232
114	69	231
115	69	230
116	70	229
117	70	229
118	71	229
119	72	228
120	72	228
121	73	227
122	73	226
123	74	226
124	75	225
125	75	224
126	76	223
127	76	223
128	77	222
129	78	222
130	78	221
131	79	220
132	79	220
133	80	219
134	80	218
135	81	218
136	82	217
137	82	216
138	83	216
139	83	215
140	84	215
141	85	214
142	85	213
143	86	213
144	86	212
145	87	211
146	87	211
147	88	210
148	89	209
149	89	209
150	90	209
151	91	208
152	91	207
153	92	207
154	92	206
155	93	205
156	93	205
157	94	204
158	94	203
159	95	203
160	96	202
161	96	201
162	97	201
163	97	200
164	98	200
165	99	199
166	99	198
167	100	198
168	100	197
169	101	196
170	101	196
171	102	195
172	103	195
173	103	194
174	104	193
175	104	193
176	105	192
177	106	191
178	106	191
179	107	190
180	107	190
181	108	189
182	109	188
183	109	188
184	110	187
185	110	187
186	111	186
187	111	185
188	112	185
189	113	184
190	113	183
191	114	183
192	114	182
193	115	182
194	116	181
195	116	181
196	117	180
197	117	179
198	118	179
199	119	178
200	119	177
201	120	177
202	120	176
203	121	176
204	122	175
205	122	175
206	123	174
207	124	174
208	124	173
209	125	172
210	125	172
211	126	171
212	127	171
213	127	170
214	128	170
215	129	169
216	129	169
217	130	168
218	131	168
219	131	167
220	132	167
221	132	166
222	133	165
223	134	165
224	134	164
225	135	164
226	136	163
227	136	163
228	137	162
229	137	161
230	138	161
231	139	160
232	139	160
233	140	159
234	141	159
235	141	158
236	142	157
237	142	157
238	143	156
239	143	155
240	144	155
241	145	154
242	145	154
243	146	153
244	147	153
245	147	152
246	148	151
247	148	151
248	149	150
249	150	150
250	150	149
251	151	148
252	151	148
253	152	147
254	153	147
255	153	146
256	154	145
257	154	145
258	155	144
259	156	144
260	156	143
261	157	142
262	157	142
263	158	141
264	159	141
265	159	140
266	160	139
267	160	139
268	161	138
269	162	138
270	162	137
271	163	136
272	163	136
273	164	135
274	165	135
275	165	134
276	166	133
277	167	133
278	167	132
279	168	132
280	169	131
281	169	131
282	170	130
283	170	129
284	171	129
285	172	128
286	172	128
287	173	127
288	174	127
289	174	126
290	175	125
291	175	125
292	176	124
293	177	124
294	177	123
295	178	122
296	178	122
297	179	121
298	180	121
299	180	120
300	181	119
301	181	119
302	182	118
303	183	118
304	183	117
305	184	117
306	185	116
307	185	115
308	186	115
309	187	114
310	187	114
311	188	113
312	188	112
313	189	112
314	190	111
315	191	111
316	191	110
317	192	110
318	193	109
319	193	108
320	194	108
321	194	107
322	195	107
323	196	106
324	196	105
325	197	105
326	198	104
327	198	104
328	199	103
329	199	102
330	200	102
331	201	101
332	201	101
333	202	100
334	203	99
335	203	99
336	204	98
337	204	98
338	205	97
339	206	97
340	206	96
341	207	95
342	207	95
343	208	94
344	209	94
345	209	93
346	210	92
347	211	92
348	211	91
349	212	90
350	212	90
351	213	89
352	214	89
353	214	88
354	215	87
355	215	87
356	216	86
357	217	86
358	217	85
359	218	84
360	218	84
361	219	83
362	219	82
363	220	82
364	221	81
365	221	81
366	222	80
367	223	80
368	223	79
369	224	78
370	224	78
371	225	77
372	226	76
373	226	76
374	227	75
375	227	75
376	228	74
377	229	73
378	229	73
379	230	72
380	231	72
381	231	71
382	232	70
383	232	70
384	233	69
385	234	69
386	234	68
387	235	67
388	236	67
389	236	66
390	237	66
391	237	65
392	238	64
393	238	64
394	239	63
395	240	63
396	240	62
397	241	61
398	241	61
399	242	60
400	243	60
401	243	59
402	244	58
403	245	58
404	245	57
405	246	57
406	246	56
407	247	55
408	248	55
409	248	54
410	249	54
411	250	53
412	250	52
413	251	52
414	252	51
415	252	51
416	253	50
417	253	49
418	254	49
419	255	48
420	256	48
421	256	47
422	257	46
423	257	46
424	258	45
425	259	45
426	259	44
427	260	43
428	261	43
429	262	42
430	262	42
431	263	41
432	264	40
433	265	40
434	265	39
435	266	39
436	267	38
437	267	37
438	268	37
439	269	36
440	270	36
441	270	35
442	271	34
443	272	34
444	272	33
445	273	33
446	274	32
447	274	31
448	275	31
449	276	30
450	276	30
451	277	29
452	278	28
453	278	28
454	279	27
455	280	27
456	280	26
457	281	25
458	282	25
459	282	24
460	283	23
461	284	23
462	284	22
463	285	22
464	286	21
465	287	20
466	287	20
467	288	19
468	289	19
469	289	18
470	290	17
471	291	17
472	291	16
473	292	16
474	293	15
475	293	14
476	294	14
477	295	13
478	295	12
479	296	12
480	297	11
481	297	11
482	298	10
483	299	9
484	300	9
485	300	8
486	301	8
487	302	7
488	302	6
489	303	6
490	304	5
491	304	4
492	305	4
493	306	3
494	306	3
495	307	2
496	308	1
497	308	1
498	309	0
499	310	0
